,제목,날짜,작성일,작성자,댓글
68,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 14:16:34,g***6,"기대된다 ......... 여론조사 지지율 3위 ........허경영 후보가..........박영선, 오세훈과 토론 하는 것이 말이다............."
69,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:57:49,한***천,"여론 조사 잘 못 돼었다.
허경영과 다른 후보를 포함하여 조사하라.
국민재산, 국가재산 도독질하는 기성정당만 후보가 아니다.
그들은 도둑이다.
허경영이 답이다.
무보수 자원봉사 누가 감히 할 수있나?
한번 손들와보라고요!
누가 시민배당금지급 할 수있나, 기존예산에서 절약하여,
누가 1급수를 시민에게 공급 할 수 있나?
누가 보동산 보유세 폐지 할 수있나?
허경여 대통령 되는 날,
우리 국민은 이보다 더큰 혜택을 본다.
기대하시라 국민이여!"
70,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:52:49,최***숙,서울시장 허경영후보를 적극 지지합니다
71,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:41:09,천***진,"여론조사 공정해야한다..
아파트분양가 상한제를 폐지하고 부동산 투자 시장 자율에 연애 결혼 출산 공영제 하고 취수원을 청평댐으로 옮겨 특급수 공급 하고 보유세 상속세를 폐지하고 양적완화 하여 18세부터 1억주고 세금절약 하여 배당금 150이상 지급 하고 징병제 폐지하고 모병제로 해야 주식시장 1억원 미만 거래세 면제해야 공매도 폐지해야 한다..쌍벌죄를 페지 뇌물 받은 자만 처벌하여 부정부패를 차단한다..UN 본부 판문점으로 이전 해야 한다."
72,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:07:36,국***허,"허경영 지지율 3위!! 4위의 3배로 압도적 3위!!
티비 생방송 '초청토론회'에 0.0% 지지율 이수봉 말고
허경영 초청해야 잼있죠~
선관위가 이상한 듯 합니다"
73,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-24 13:06:34,국***허,"허경영 지지율 3위!! 4위의 3배로 압도적 3위!!
티비 생방송 '초청토론회'에 0.0% 지지율 이수봉 말고
허경영 초청해야 잼있죠~~
선관위가 이상한 듯 합니다!!"
74,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-22 19:13:37,c***2,그래.. 아이들 밥그릇 빼앗는 인간이 서울 시장되고... 대통령도 시켜봐라.. 명박이 근혜 보고도 또 왜구니?
75,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-22 18:49:50,j***k,"딱히 현 정권이 잘 했다고 할 수는 없지만,,,, 그렇다고 국민의힘이 당선이 된다고 해서 더 잘 할 수 있다고 생각하는 것 자체가 모순 같은데,,,, 점차 투명한 방향으로 개선되고 있는 현 상황에서 다시 불투명의 시대로 전환을 꾀하는 이들의 꾐에 넘어가지는 말아야 할 것 같은데,,,, 쩝, 쩝,,,,ㅠㅠ"
76,"[단독] JTBC 서울시장 여론조사, 야권후보 누가 돼도 과반 지지 확보",2021-03-22 18:02:00,2021-03-22 18:42:58,1***y,기레기들이.저 돼지 장모 마누라 의혹엔 입을 처다무니 ㅋㅋ
77,"'말하는대로' 이뤄진 김종인, 이번엔 ""오세훈 5~7%p 차로 이길 것""",2021-03-26 11:44:00,2021-03-26 18:03:39,장***주,"k방역을 착각이라고 하면 세월호 사례와 견주어보면 되고, 안철수는 글타치고 파리운운하는것은 또 한번 인기에 끼어드는 파리 골라내는 것을 맡겨주도록 무언중 의사표시이다 자기pr시대 녹슬지 않은 정치감각 목적을 달성하고 떠날줄 아는자. 그래도 양지를 찿아 한번더 앉을려는 유세가로 부족함이 없는 위인이다. 안00, 홍00 장00 이들은 이들은 김종인위원장에 훨씬 미치지 못한다."
78,"'말하는대로' 이뤄진 김종인, 이번엔 ""오세훈 5~7%p 차로 이길 것""",2021-03-26 11:44:00,2021-03-26 17:27:53,임***식,"김칫국 드링킹 이야~~~ 국짐 조금 좋다고 바로 콧대봐라. 부동산/전광훈 5세 훈이, 부동산/입시비리/개인불법사찰 형주니 데리고 부끄러운 줄도 모르고 자랑질이네;;"
79,"'말하는대로' 이뤄진 김종인, 이번엔 ""오세훈 5~7%p 차로 이길 것""",2021-03-26 11:44:00,2021-03-26 15:15:39,김***구,김정일 위원장이 국민의 짐을 움직이는구나
80,"'말하는대로' 이뤄진 김종인, 이번엔 ""오세훈 5~7%p 차로 이길 것""",2021-03-26 11:44:00,2021-03-26 14:26:48,x***4,"주권자는 더 나쁜 당과 후보를 떨어뜨리는 선거를 해야 합니다
더 나쁜 당과 후보에 표를 더 많이 준다면
나라가 망하기를 바라는 것이나 다름없습니다
설마 나라 망하기를 바라는건 아니겠죠?
이번에 후보를 보면 더 나쁜놈이 확실하게 드러납니다
양파처럼 까도까도 속이 안보이는 후보는 누구입니까?"
81,"'말하는대로' 이뤄진 김종인, 이번엔 ""오세훈 5~7%p 차로 이길 것""",2021-03-26 11:44:00,2021-03-26 14:15:36,1***y,"윤돼지는 별을 달것 같은데 ㅋㅋ
장모 마누라 때문에 ㅋㅋ"
82,"'말하는대로' 이뤄진 김종인, 이번엔 ""오세훈 5~7%p 차로 이길 것""",2021-03-26 11:44:00,2021-03-26 14:10:20,1***y,"국짐당 기관지 수준인데
쪼또비씨야"
83,"여 ""일 잘할 후보 골라달라"" vs 야 ""선거 왜 하는지 알려야""",2021-03-25 19:13:00,2021-03-28 23:53:08,장***원,허경영 후보를 TV 3자 토론에 참여시켜라!!!
84,"다음 대통령은? ""이재명 25%, 윤석열 23%""",2021-03-18 15:54:00,2021-04-01 15:00:16,c***2,장모.. 마누라 사식이나 준비해라.. 범죄자 집안
85,"다음 대통령은? ""이재명 25%, 윤석열 23%""",2021-03-18 15:54:00,2021-03-18 17:35:47,무***심,조금 더 있으면 기름기 쫘`악 빠지지 않을까 생각된다
86,오세훈 지지율 오르자 야권단일화 삐걱,2021-03-15 11:16:00,2021-03-15 12:45:03,c***2,왜구들이야 항상 저러지.. 철수야 넌 팽 당한거야..초딩아...
87,오세훈 지지율 오르자 야권단일화 삐걱,2021-03-15 11:16:00,2021-03-15 11:33:16,김***건,"그럼 그렇지.
안잽이의 진면목을 제대로 보여주기 바란다."
88,"민주 ""국회의원 300명 부동산 전수조사""…국민의힘 ""해보자""",2021-03-11 19:07:00,2021-03-11 20:52:59,g***g,"이해충돌방지법을 제정을 계속 반복해서 집중보도해주세요, 국회의원들이 법을 만들때까지 쉬지말고 보도해주세요. 기득권층은 절대 포기하지 않을 겁니다."
89,자영업 전문가 만난 윤석열...국민의힘은 홍준표 '복당' 놓고 시끌,2021-05-10 18:00:00,2021-05-10 19:54:17,1***y,"저 돼지는 대통령을 무슨 게임캐릭터인줄 아나 ㅋㅋㅋ
진짜 개어이없네 ㅋㅋ"
90,자영업 전문가 만난 윤석열...국민의힘은 홍준표 '복당' 놓고 시끌,2021-05-10 18:00:00,2021-05-10 19:54:16,1***y,"저 돼지는 대통령을 무슨 게임캐릭터인줄 아나 ㅋㅋㅋ
진짜 개어이없네 ㅋㅋ"
91,"""남북통일도 하는데"" ""윤석열도 오는데""… 홍준표 복당 놓고 '와글와글'",2021-05-11 11:40:00,2021-05-11 11:48:36,c***2,얼른 받아라.. 저 발정제 오면.. 니들 폭망이니... ㅋㅋㅋ
92,"지지율 1위 윤석열, 비호감도 조사도 1위…홍준표 '빵긋'?",2021-04-14 19:40:00,2021-04-21 02:55:57,M***u,어떻게 해서라도 깍아내려 현즹부 좀 도와주려는 뉴스~ 지지율 1위가 더 확고해졌다는게 뉴스입니까 아니면 비호감도가 크다는 게 뉴스입니까? ㅉㅉ.뭐가 기사 비중이 있는지는 알아야~~~
93,[비하인드+] 진중권 vs 김용민 '똘마니 논란' 소송 결말은,2021-04-25 20:19:00,2021-04-26 12:14:57,c***2,정치인도 아니고.. 학자도 아니고.. 그냥 그런 인간이... 사람들 관심 좀 받으려고 애쓴다.. 불쌍하다..
94,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 11:05:37,安***],"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
95,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 10:49:09,d***8,솔직히 LH는 어느당이 집권하던 터질문제였음.. 아직도 숨어있는 적폐가 있다. 없을 리가 없지. 앞으로 계속 적폐 없애나가자
96,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 10:37:16,安***],"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
97,"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,2021-04-08 09:43:17,y***y,현명한 국민이 정치 지도자들을 리드해야만 한다. 오만방자 & 불손한 여당의 태도에 대한 국민의 회초리다. 재보궐선거 결과를 보고 깨달고 국민의 눈 높이로 볼수있기를 바란다. 다시한번 정권을 잡고 싶다면 정부여당을 통렬한 자기반성의 자세로 취해야 할것이라 생각한다. 왜? 야당이 잘해서 표를준게 아니라 여당이 못해서 야당에 표를 준것이기 때문에!!
98,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 07:40:58,동***이,인터넷 신문은 날짜와 시간외에는 믿을게 없댜는데(드라마에 나와)
99,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 05:58:14,c***2,"선호도가 딱 ... 어느 지역 인구 비율이네.. 저런 범죄자 집안 인간들도 대통령 될 수 있는 지역... 이번에, 그 지역 시장 뽑은거 봐라..!! 온갖 잡질로 돈만 챙기던 놈이나 뽑고.. 참, 저 지역 수준은 어떻게 하니... 박정희 전두환이 독재의 단물만 빨던 인간들... 싸나이? 개가 웃는다.."
100,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 02:08:53,f***7,밑에 대깨들 논리가 없노 윤석열 일개 검사였는데 우파 세력과 전직대통령 두명과 깜빵넣은 공으로 검찰총장 낙하산으로 꼽아주고 키워준게 문재인이란걸 모르나? 대가리에 두부만 들었나 ㅋ 대깨들 풉 일개 검사가 대통령감이 아니라고? 그럼 경희대정도 나와데모 흉내내다 변호사 하던 문재인은 대통령 감이야? ㅋ 사시패스도 검사 커트라인이 변호사 보다 위이고 학벌도 위이고 문재인덕에 총장까지 했는데?대깨들때문에 국민이 정신차리네 ㅋ 대깨들화이팅
101,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:59:04,f***7,이낙연은 문재인과 함께 침몰해 제거 될각이고 이재명은 대깨등르 떠않아야 될텐데 점점 대깨들은 침몰각이라 대깨랑 한배탔다간 좌익 자체가 박멸될거고.. 중도 전후를 꽉잡은 윤석열이 그나마 여유롭구나.
102,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:19:36,h***0,"국민의 수준이 이지경이 된게 누구 때문인가?
일개 검사가 대통령감이라니.... 이 사람이 데체 누구란 말인가?
한탄스럽고, 한심스러원진다."
103,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:17:09,h***0,"도데체 국민의 수준이 이 모양이된게 누구 때문인가? 한탄스럽고 수치스럽다.
일개 검사가 대통령감이라니....? 한심하다."
104,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:02:15,o***0,자 문이란 세력은 결국명분만 채기려다 이도저도 안된 댐빵하다 막판에 LH아킬레스로 머된정권이다... 그렇다구 야인들이 멋지게 잘한것도 없다... 정신차려라 여든 야든 정치하는것들은 세금으로 대신 일하는 노비다 그걸 마치 희롱하듯 또 쑈를한다..정신차려라...정치하는것들은 여든야든 다 우리편이아니란것을..바보같이 아직도 선그려구 뇌를 소모하지마라..
105,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 23:51:32,k***3,"윤석열 전 검찰총장, 조국 전 장관 처럼 장모 부인 본인 범죄, 70곳 이상 압수수색 사법처리 했다면 윤석열 본인 부인 장모 몽땅 감방에 쳐박혀 있을 것으로 확신한다."
106,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 23:03:24,이***석,이재명은 혜경궁김씨 사건으로 친문이 죽이려고할때 그냥 탈당해서 정의당이나 국민의당으로 갔으면 지금보다 훨씬 전망 좋았을거다. 지금 민주당에서 백날 친문한테 아부해봐야 친문이 대선후볼 안 밀어준다. 정동영하고 이명박 매치할때도 친문들이 도와주지도 않았다. 친문패권주의는 자기들편이 권력 못잡으면 차라리 상대당에게 권력주는게 낫다라는 생각을 가진 비정상적인 사람들이다.
107,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 22:05:33,김***기,"(외톨이참새)
어리석은 진보들....아니 친문들.
내가 예측한 정치가 꼭맞아들어가는군...
내가 거듭거듭 강조했듯이 니들은 명박이보다 더 모진자를 맞이하게 될거야...
내말이 의심스러우면 내아이디를 정치기사 5개월전부터 검색해보라.
니들은 콧방구를 뀌겠지만, 이젠 재명이도 장담을 못하는 사태까지 왔다.
니들은 이제 사즉생의 심정으로 재명이에게 기대를 하겠지만....
과연 친문과 문통정치의 증오표심을 이길수가 있을까 ?"
108,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:53:05,박***안,윤가가 할수있는것은 범죄자잡는거하고 없는죄도 만드는거외 뭘할수있을까
109,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:44:48,A***n,"나라가 망하는 방법인가?
어디 방글라데시 후진국도 아니고 대한민국 수준 개허접이네"
110,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 21:36:12,한***우,ㅋㅋㅋJTBC 왜이러냥. 손석희 내려가더니 ;;
